路線名稱,公車代碼,方向
F611,0454061100,去程
F623,0454062300,去程
F625,0454062500,去程
F626-0815,0454062680,去程
F626,0454062600,去程
F627,0454062700,去程
F628,0454062800,去程
F629,0454062900,去程
F630,0454063000,去程
F651,0454065100,去程
F652,0454065200,去程
幸福巴士F652延伸線,0454065290,去程
F653A,0454065300,去程
F653B,0454065370,去程
F655,0454065500,去程
F656,0454065600,去程
F657,0454065700,去程
F703,0454070300,去程
F703前三班,0454070390,去程
F711,0454071100,去程
F712,0454071200,去程
F713,0454071300,去程
F721,0454072100,去程
F722,0454072200,去程
F723,0454072300,去程
F723上石嘈,0454072380,去程
F723下石嘈,0454072390,去程
F724,0454072400,去程
F801,0454080100,去程
F802,0454080200,去程
F803,0454080300,去程
F805,0454080500,去程
F806,0454080600,去程
F807,0454080700,去程
F808,0454080800,去程
F811,0454081100,去程
F812,0454081200,去程
F813,0454081300,去程
F815,0454081500,去程
F815嶺頭觀目,0454081570,去程
F816,0454081600,去程
F821,0454082100,去程
F822,0454082200,去程
F823,0454082300,去程
F823區,0454082320,去程
F825,0454082500,去程
